IE_CODE;IE_XML_ID;Артикул;Название;Описание;Цена;Валюта;Бренд;Картинка1;Картинка2;Картинка3;Надкатегория;Категория;ID категории
MK-61;MK-61;MK-61;Комплект крепления на мачту D=61мм MK-61;Комплект крепления на мачту D=61мм;950;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-78;MK-78;MK-78;Комплект крепления на мачту D=78мм MK-78;Комплект крепления на мачту D=78мм;1150;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-92;MK-92;MK-92;Комплект крепления на мачту D=92мм MK-92;Комплект крепления на мачту D=92мм;1175;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-116;MK-116;MK-116;Комплект крепления на мачту D=116мм MK-116;Комплект крепления на мачту D=116мм;1250;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-142;MK-142;MK-142;Комплект крепления на мачту D=142мм MK-142;Комплект крепления на мачту D=142мм;1280;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-170;MK-170;MK-170;Комплект крепления на мачту D=170мм MK-170;Комплект крепления на мачту D=170мм;1350;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-222;MK-222;MK-222;Комплект крепления на мачту D=222мм MK-222;Комплект крепления на мачту D=222мм;1450;RUB;;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;/upload/complect/crepl-3.png;Аксессуары для термошкафов;Крепления на мачту;49
MK-RIT(40-190);MK-RIT(40-190);MK-RIT(40-190);Комплект крепления на мачту D=40-190мм MK-RIT(40-190);Комплект крепления на мачту D=40-190мм;5040;RUB;;/upload/complect/crepl-4.png;/upload/complect/crepl-4.png;/upload/complect/crepl-4.png;Аксессуары для термошкафов;Крепления на мачту;49
KAT 3U;KAT 3U;KAT 3U;Кронштейн телекоммуникационный KAT 3U;Кронштейн телекоммуникационный настенный 3U, регулируемая глубина 300-450 мм (ШхВхГ 512х140х450);1430;RUB;;/upload/complect/kron-1.png;/upload/complect/kron-1.png;/upload/complect/kron-1.png;Аксессуары для термошкафов;"Кронштейны телекоммуникационные 19""";51
KAT 6U;KAT 6U;KAT 6U;Кронштейн телекоммуникационный KAT 6U;Кронштейн телекоммуникационный настенный 6U, регулируемая глубина 300-450 мм (ШхВхГ 512х274х450);1950;RUB;;/upload/complect/kron-1.png;/upload/complect/kron-1.png;/upload/complect/kron-1.png;Аксессуары для термошкафов;"Кронштейны телекоммуникационные 19""";51
KAT 9U;KAT 9U;KAT 9U;Кронштейн телекоммуникационный KAT 9U;Кронштейн телекоммуникационный настенный 9U, регулируемая глубина 300-450 мм (ШхВхГ 512х407х450);2340;RUB;;/upload/complect/kron-1.png;/upload/complect/kron-1.png;/upload/complect/kron-1.png;Аксессуары для термошкафов;"Кронштейны телекоммуникационные 19""";51
KAT 12U;KAT 12U;KAT 12U;Кронштейн телекоммуникационный KAT 12U;Кронштейн телекоммуникационный настенный 12U, регулируемая глубина 300-450 мм(ШхВхГ 512х540х450);2990;RUB;;/upload/complect/kron-1.png;/upload/complect/kron-1.png;/upload/complect/kron-1.png;Аксессуары для термошкафов;"Кронштейны телекоммуникационные 19""";51
