IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP85	IP_PROP95	IP_PROP96	IP_PROP97	IP_PROP43	IP_PROP44	IP_PROP45	IP_PROP46	IP_PROP47	IP_PROP50	IP_PROP107	IP_PROP59	IP_PROP105	IP_PROP102	IP_PROP99	IP_PROP130	IP_PROP124	IP_PROP114	IP_PROP134	IP_PROP132	IP_PROP139	IP_PROP110	IP_PROP98	IP_PROP51	IP_PROP111	IP_PROP106	IP_PROP60	IP_PROP137	IP_PROP127	IP_PROP129	IP_PROP135	IP_PROP136	IP_PROP126	IP_PROP128	IP_PROP112	IP_PROP100	IP_PROP131	IP_PROP103	IP_PROP101	IP_PROP104	IP_PROP52	IP_PROP93	IP_PROP125	IP_PROP133	IP_PROP138	IP_PROP108	IC_GROUP0	IC_GROUP1	IC_GROUP2
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/a2e/a2e549f8c32b8015db72c419db170859.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/031/0318d8b668d05014512eba9084508ac1.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/97f/97f2273a86b4b6dc3917b6a4308582dc.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/f80/f80b3a298c71e26522d636c858be6073.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/a29/a29247526078ee2f0be724b4d6795316.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/69d/69d221e2f82abd708eb6b24b286a8c31.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/6f2/6f205e57d3d494d6f5343b3e35bd0b3f.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63786	Термошкаф  T-4060200-100	63786	Y					text	/upload/iblock/19f/19f1c61b3c07d2e87df299c96a5f6ad3.png		html	T-4060200-100	500			400	600	200	itprom				T-4060200-100		Есть			Есть	Простая									/upload/iblock/837/8374c8c6c99cb74157fd8a9e649d9898.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/b0b/b0b7f1ae5164d292c8d85186004a8672.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/731/731d09cde72cbe1b169ff1bf8477e1aa.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
